"_DTItemId",EmployeeId,AccountUPN,"test_sum_failures","test_sum_Opened","test_sum_Clicked","test_sum_DataEntered","test_sum_Reported","real_falsepositive","real_truepositive","real_DwellTime","LastUpdatedTimeUTC [UTC]"
"4562ac6c-df0d-4572-a7f4-38c82690083a",3677,366e38a05bd684da69624ed5da8d00d4,0,1,0,0,4,2,0,62569,"5/15/2024, 5:19:28.304 PM"
"581eb0e8-8599-4a8b-8e60-0865cd3a78d4",7584,9e612c92dd8c1b6c7724ea201fc217d0,0,5,0,0,7,1,0,456,"5/15/2024, 5:19:28.304 PM"
"e048dd47-15cd-4f19-b032-5d5815c0571e",7188,d773e2ad4b710acb484b00fd1da3f1b2,0,1,0,0,4,1,0,1181,"5/15/2024, 5:19:28.304 PM"
"47b33563-c3db-47a8-961c-89a7ed9899c3",7796,bc231f1d9b1c77ecf3387f4eb3e3a962,0,6,0,0,6,1,3,471333,"5/15/2024, 5:19:28.304 PM"
"8eb9692e-5a8b-4de3-bc99-0863f7f18298",4180,f3487d578f6451f7741c8b7d366381f7,0,1,0,0,4,1,6,272761,"5/15/2024, 5:19:28.304 PM"
"484ff812-0b8a-44a3-9e83-399fab35d462",7558,71ebf04a574242bb9f2d1f7e1d4552a4,0,2,0,0,8,19,7,463338,"5/15/2024, 5:19:28.304 PM"
"c99eae22-0dcb-4389-be98-ca05cf092a4f",3875,75cd1f9047c652ca2ad8038b52efb838,0,1,0,0,0,1,0,12296,"5/15/2024, 5:19:28.304 PM"
"3432a6f5-d505-4701-945d-440fb2b55ed2",7919,548b59537532e1c2cd37eab315609580,1,4,1,0,9,9,1,118025,"5/15/2024, 5:19:28.304 PM"
"fb068b2b-15f2-4c15-80c5-435cbf709991",6021,4665e899221abd325218628135b18577,2,3,2,1,2,12,0,829922,"5/15/2024, 5:19:28.304 PM"
"25d8d6bb-340a-4cac-9010-a0948c5b77b1",7999,6a757e356be1f2d2355f504189dd740a,0,5,0,0,9,6,1,421364,"5/15/2024, 5:19:28.304 PM"
"7682fd86-2854-4f03-8d51-5c50f88339da",5953,8df9acb4186469925c6b6a99b8839262,0,3,0,0,10,6,1,81044,"5/15/2024, 5:19:28.304 PM"
"5060ad44-d1fc-491e-b7a3-4321c661fb2d",4295,9848c4dfcb4f1bb286034aa703607a1d,0,2,0,0,7,5,0,58898,"5/15/2024, 5:19:28.304 PM"
"39c6c7a9-460a-4027-b604-c94156f6ae5c",8629,4505af71aa31f0f49b4a7a2124663ac5,1,3,1,0,8,45,28,2025051,"5/15/2024, 5:19:28.304 PM"
"b1cc6201-a206-4f20-b9ca-8834c133be8f",8768,6e1c00f8f0fc01799b19bb6c69b91ca4,0,2,0,0,4,4,7,145549,"5/15/2024, 5:19:28.304 PM"
"273f72eb-6080-4163-8fb6-9a19c45d850f",5973,609c8b10745c4662e3683df0968d7257,0,2,0,0,7,4,5,844708,"5/15/2024, 5:19:28.304 PM"
"e0630f0b-51c9-42e1-a9d7-1fc49a145499",5481,a0a8fb039ad7d5b66904e43ca7982a36,0,1,0,0,6,9,3,581615,"5/15/2024, 5:19:28.304 PM"
"cedcf962-85d6-4379-a020-9eed9194d59d",8122,57f717eb77ca66d890bb3376c9e43e00,2,7,2,0,11,9,0,453860,"5/15/2024, 5:19:28.304 PM"
"5a1f6fd6-19bb-4563-947b-c03f00cbcfc3",6595,9ed8a09b2ee0947ee68e425b950df5b2,0,2,0,0,7,2,0,181084,"5/15/2024, 5:19:28.304 PM"
"bff8c401-a9dd-4c52-89ee-1730ec449bcd",4999,349369185f91c5ef04acb5fcbefe5568,0,2,0,0,8,3,1,20414,"5/15/2024, 5:19:28.304 PM"
"099deeb3-a6ac-4e9b-9379-3f812a0c526e",7368,06961e158c78e672f74b762a76ee909c,1,4,1,0,9,6,3,509716,"5/15/2024, 5:19:28.304 PM"
"4aed8fbb-055d-4dcd-abf6-66a3a3515b53",5190,c6f5c5e6b3f19847e292ff9c4b5c0fe0,0,2,0,0,3,3,0,93565,"5/15/2024, 5:19:28.304 PM"
"a2d20757-0400-4bc4-b620-1fd574a6edb3",3155,eb5e75682594d6066cd7ce09b5d49e7a,0,1,0,0,0,1,0,1377,"5/15/2024, 5:19:28.304 PM"
"fa99c5a9-fb49-4ce6-b011-11cbb935b654",2950,8c899f0dce1c605b407132af3b692792,0,2,0,0,6,2,0,57114,"5/15/2024, 5:19:28.304 PM"
"5ab124d9-91da-4f7c-8b06-2a3bfb36b649",8695,ab2c89a65b261a776585b2b84b044cdf,0,2,0,0,6,7,1,484433,"5/15/2024, 5:19:28.304 PM"
"63dd76dd-31ed-48d5-81ea-27c8584f69aa",1627,c6727c4162bc9208b3939b61683d57e3,0,2,0,0,6,14,1,155816,"5/15/2024, 5:19:28.304 PM"
"f5c067ec-538f-4331-a35b-ac5fde045c26",6670,5c3a831b44ea2c6e45adc50f2f92a352,0,2,0,0,1,2,0,36095,"5/15/2024, 5:19:28.304 PM"
"5b3ef38e-5d80-41fc-b8b8-1c36051b793a",7752,0f5a7c9e6c03a8e03196764c1220ce97,0,2,0,0,9,3,0,236181,"5/15/2024, 5:19:28.304 PM"
"54c2d0d9-6750-41ef-87e1-493ba1faf58f",5679,2eea62c332d3f829e036086f499d386c,0,2,0,0,7,9,4,138571,"5/15/2024, 5:19:28.304 PM"
"12362cc4-28b5-43ea-97e3-75aa095b5c8b",7968,a5e2b7cdd1cbd8ea34bc7a58e7835387,0,2,0,0,8,3,2,166501,"5/15/2024, 5:19:28.304 PM"
"e9113782-f127-42cf-8ba9-ecf91ab9c9ad",3463,2e063949cd69d5bb8f9a906d43aeec48,1,2,1,0,6,1,2,306188,"5/15/2024, 5:19:28.304 PM"
"3d8040b4-8166-4a38-b1f9-9d02cf6e8bef",5647,43c23781e26cfb7cb8e6d1627994b8b8,0,2,0,0,6,2,6,97283,"5/15/2024, 5:19:28.304 PM"
"8b88aa85-53c3-4b6f-9c4e-7445913513e6",7657,cfddf3e690c8416b4969e92a2e7707c8,0,2,0,0,7,4,1,240073,"5/15/2024, 5:19:28.304 PM"
"86bbf904-decc-4d3d-a08e-99825b22f2bb",8784,42b29c92e51d21e98b64411a59176cc8,0,1,0,0,2,1,3,547796,"5/15/2024, 5:19:28.304 PM"
"10a9f0b0-2cb3-4b10-ab31-c47668020259",4571,4b6eb94ee9894f8d141b27cc7dfef881,0,2,0,0,5,0,1,17383,"5/15/2024, 5:19:28.304 PM"
"2d5eaaec-4097-403e-aceb-32c238742781",8536,354d969aa98a4490ef1b1a6ecb8eee6e,1,2,1,0,3,0,1,2447,"5/15/2024, 5:19:28.304 PM"
"22d179ef-8ee5-4d8f-a514-4ccbe11ba15f",1262,b51d06d415e1e7499c6b20ad782bf54c,0,3,0,0,1,0,2,4522,"5/15/2024, 5:19:28.304 PM"
"158a88e1-9083-44b0-90b7-ad276f799a44",7969,455b5c27e8f0068c1d8204adde7ba7c5,0,2,0,0,9,30,6,1249721,"5/15/2024, 5:19:28.304 PM"
"227481d9-47f8-4826-8a11-6363e2eba5ab",8107,4cd1026a444baa463bf69a5a7506db90,1,3,1,0,9,6,3,745776,"5/15/2024, 5:19:28.304 PM"
"82188bf2-745a-430a-8922-6363edd6a285",7885,dd604b821132c56b3df703fe5a0c1971,0,2,0,0,6,0,18,294798,"5/15/2024, 5:19:28.304 PM"
"4f68dec4-ba02-4fb9-bd9a-23487b08aea2",6904,7ec99880333865467434fcf772c5193b,1,4,1,0,5,7,5,615813,"5/15/2024, 5:19:28.304 PM"
"11d4e910-6696-4952-9df7-6d782371c886",8010,f2fed150f1475014c6e79f8373e8f75e,0,2,0,0,5,1,1,6695,"5/15/2024, 5:19:28.304 PM"
"e7e076f2-3af9-4dcd-ae34-2eaf84801c12",1106,fbc8847f62095d4f5cc5756a3e74a50b,0,2,0,0,6,5,2,18133,"5/15/2024, 5:19:28.304 PM"
"26e91aa9-b111-430c-86a7-a1bf968dae9d",2801,eef030f2ed899e920e73c67f145629ed,1,2,1,0,3,4,4,759540,"5/15/2024, 5:19:28.304 PM"
"acfffe08-8eb7-4717-8a2f-338b108c7a0b",3834,c751a85ff700455b2ccd52c46cab6f46,0,8,0,0,6,7,2,411931,"5/15/2024, 5:19:28.304 PM"
"02964bef-6e6d-4558-8d39-246843a336a5",6478,2bf9ea5924c2d323b46ab0c57baefa5c,0,4,0,0,5,4,1,100814,"5/15/2024, 5:19:28.304 PM"
"e76779ed-29da-4fc7-9948-71df70b4977b",4093,805fd3a38dbb0bf002ade0c448fe5337,0,0,0,0,0,3,0,114399,"5/15/2024, 5:19:28.304 PM"
"9be319e7-3192-4f49-8c88-6044c198863d",8033,98ff46e3b281979b0abf01645e7e9dd9,0,3,0,0,7,9,2,15043,"5/15/2024, 5:19:28.304 PM"
"2a0af68c-d3d9-41d5-a310-3724a7582b29",4004,c5aec7c73ace0773b4f820ed9e66239c,0,3,0,0,6,9,3,301424,"5/15/2024, 5:19:28.304 PM"
"42ff0bcb-45ad-4636-88b5-1da69b3cc21d",6279,67f5d9afd0c66d3a4c5c52f255930b5c,0,1,0,0,8,2,0,3310,"5/15/2024, 5:19:28.304 PM"
"8fcb7cf2-f76d-40d9-8881-be030e27f35c",5514,7ae63802a34a6959e2103478d1b95510,0,2,0,0,8,6,0,593466,"5/15/2024, 5:19:28.304 PM"
"aff65d73-0f80-424c-bf29-9fbe15308d84",7531,7f766f28f7b916aabbd8367208c5b9aa,0,3,0,0,7,4,0,205191,"5/15/2024, 5:19:28.304 PM"
"dd1e824e-b812-42fa-a768-7165fc4b8b8b",6234,d41075746a909d272f0cd0fc8a2bd5e5,0,2,0,0,5,1,0,42036,"5/15/2024, 5:19:28.304 PM"
"54331624-69fc-4c16-b34d-e234170be584",5607,2c5bf05688d589ee1d5619021bbd6c16,0,0,0,0,1,3,0,480516,"5/15/2024, 5:19:28.304 PM"
"bfd62984-37cd-4477-ab23-451e71628cdd",7581,ce33777e0adfea9f220958a3e8ce7ec5,0,0,0,0,2,1,0,1803,"5/15/2024, 5:19:28.304 PM"
"6ba3ea56-b0b7-4a61-a34b-e8b8157c3833",8972,3eb65df51a8048e341594e2d97ea07e7,1,3,1,0,2,3,0,58503,"5/15/2024, 5:19:28.304 PM"
"8fb6a427-9ce4-453b-936f-fc9156ec460e",7283,7eca62c984d29a5dbeb0b3588af61f70,0,2,0,0,7,5,0,5913,"5/15/2024, 5:19:28.304 PM"
"59ab73f2-f73f-4c88-b1be-dfc759af36a7",5437,480a988d8ae3c03e767f70767e3af46d,0,2,0,0,9,4,4,403692,"5/15/2024, 5:19:28.304 PM"
"79db45e4-4b3f-459f-ae84-72e832ff9454",3833,3394c3afc7d51a1f0e9a7d7cfa82f2f4,1,4,1,0,9,5,3,128766,"5/15/2024, 5:19:28.304 PM"
"888fff63-f6de-4c60-8c65-c36253a0fe7d",7091,aaef0da143a62e2ec45ef7e834405bb7,0,3,0,0,8,3,2,9247,"5/15/2024, 5:19:28.304 PM"
"d68505cd-62f2-43e2-b76d-6b6543443afa",8954,237570def1b2d21d53447063204762d4,0,1,0,0,1,1,0,55513,"5/15/2024, 5:19:28.304 PM"
"9b3e7fc9-72f4-4a75-a290-a4a9be15b8e4",7794,ed59532a3818a1f082d995413fa8c0bf,0,1,0,0,7,3,0,62959,"5/15/2024, 5:19:28.304 PM"
"a0f25824-15d3-4964-9839-d60d48ff813b",7616,44b49702db46d41fe2f1dffe5284b07a,0,2,0,0,9,1,0,244543,"5/15/2024, 5:19:28.304 PM"
"633d8319-d042-46d6-bbd1-e34009818ff1",6898,0feac431a1ebbdf4a87fe93eeb16f211,0,3,0,0,5,2,2,7621,"5/15/2024, 5:19:28.304 PM"
"7bd87ec7-d787-4d58-91e9-75bcbc69da0d",7055,d18ec7d1dc3e8fb006718130a92778ef,0,3,0,0,7,0,1,972,"5/15/2024, 5:19:28.304 PM"
"35445be1-05d9-4c44-9414-00de87b9aa1b",5547,48576b3b43d4da10fde45ba8deb81dda,0,0,0,0,1,1,0,7462,"5/15/2024, 5:19:28.304 PM"
"9a593e40-d1bd-4281-94be-19a420745d83",5011,e6c67e1bb46dc0f84ade6bef11fa3e42,0,2,0,0,5,2,0,5971,"5/15/2024, 5:19:28.304 PM"
