_DTItemId,EmployeeId,AccountUPN,test_sum_failures,test_sum_Opened,test_sum_Clicked,test_sum_DataEntered,test_sum_Reported,real_falsepositive,real_truepositive,real_DwellTime,LastUpdatedTimeUTC
efa4a114-2c3a-4ddf-8340-4bf26ea8325b,7684,a2137cf6781e3219124c3c2dc76212da,0,0,0,0,2,4,3,57142,"5/10/2024, 3:31:34.682 PM"
b66ab793-0a7f-4204-80c4-01a02445edca,8213,93845eb6c634877cff7159640095031a,0,0,0,0,1,1,3,285639,"5/10/2024, 3:31:34.682 PM"
3abd202a-f1af-4e9b-b6f9-b773114284d7,2108,70bc6c544abf040babb3aac7558248ec,0,0,0,0,3,2,1,246828,"5/10/2024, 3:31:34.682 PM"
ca5892f2-3d6f-46d9-b60b-3947f45233d0,7164,285b6695a72a697ac89c30ab5f84bd04,0,1,0,0,0,2,0,5910,"5/10/2024, 3:31:34.682 PM"
a1c5b793-e62f-42a1-9770-fc9ec8cd434c,6798,a54370c2fa5583035196a18e13150af3,0,0,0,0,1,1,0,211,"5/10/2024, 3:31:34.682 PM"
f915efd1-88a6-4c18-9313-90b42fd82df9,3828,a0f4afd3f99f118628095fc776a20fcf,0,0,0,0,3,0,1,65312,"5/10/2024, 3:31:34.682 PM"
9eee6f44-06d0-44ad-834e-15d195776c77,2927,bf33db7df84e1ee3439b8d08b2b7face,0,1,0,0,2,2,1,331641,"5/10/2024, 3:31:34.682 PM"
20650c2b-3cd0-475a-8aa7-35cc43ca822c,1751,fc978b67d59ae05a9abd544868f77696,0,0,0,0,1,1,0,1318,"5/10/2024, 3:31:34.682 PM"
7668be4f-7f38-47be-8742-8eccf779f39c,7688,09a762822f044c634fc459f6d7b1d5be,0,0,0,0,2,0,1,1461,"5/10/2024, 3:31:34.682 PM"
b2ebd307-d750-49f0-8702-ec4fd14ec4c0,2732,80986b50504110e21b9242aa439e2455,0,0,0,0,3,1,0,714,"5/10/2024, 3:31:34.682 PM"
73eeba52-894d-4f2a-abd3-dbda5f9162e8,8137,ea383888c4ac64fd8907e3ce64518069,0,0,0,0,1,0,2,4766,"5/10/2024, 3:31:34.682 PM"
202a4cd9-9515-4189-99cd-ee4bafe90012,7071,e0164de5a8ffc9f99bd5e642e04f496f,0,0,0,0,3,0,1,30538,"5/10/2024, 3:31:34.682 PM"
930fddeb-ddc1-4993-a368-bb988918f06c,8855,3521494e0de6f3e99a7612aa6f3fe9df,0,0,0,0,0,3,0,2089,"5/10/2024, 3:31:34.682 PM"
0cb8e125-e550-4f64-a7a6-06c945d0c892,7727,10420c7da84a6c3883584ee5f6985bad,0,2,0,0,2,1,0,11229,"5/10/2024, 3:31:34.682 PM"
7b065c7b-bce8-4dc5-af07-9586fe1c26a0,7728,68c95f27c0230baa011736309450edb1,0,0,0,0,3,2,0,6007,"5/10/2024, 3:31:34.682 PM"
dd5fd1fd-ac96-4ca0-a3be-aa7d0c2081c4,5189,47425f77edb917a15e59c3e80760eddc,0,0,0,0,3,0,1,6595,"5/10/2024, 3:31:34.682 PM"
944b2b3b-46b9-4454-bd8f-bcb6d8ad24bc,5147,c9dd9d3b12d07d9d0e3117c7336e42bf,0,0,0,0,3,1,0,764,"5/10/2024, 3:31:34.682 PM"
ee302f6c-c0db-43a0-949b-8340e357ac92,7074,246848866f3f044eff7ebaabedef9e71,0,0,0,0,1,1,0,0,"5/10/2024, 3:31:34.682 PM"
5066d7aa-24f3-48ad-8a05-6aa54ca210b2,8144,f8b98f55c1c4311218fa2dd7f3c579a0,0,0,0,0,0,1,0,0,"5/10/2024, 3:31:34.682 PM"
092586f1-0e7b-412b-a352-ae2c2094ddad,8210,c13d51b2027e77c6a09ddd2973fcff38,0,0,0,0,3,1,1,331969,"5/10/2024, 3:31:34.682 PM"
a27745d8-22d7-490a-b0b2-a2e53e10278e,7368,06961e158c78e672f74b762a76ee909c,0,1,0,0,3,1,1,35873,"5/10/2024, 3:31:34.682 PM"
85bbbb9d-01e1-48e8-970b-80a62195d58e,8815,dfa9fe6d67c8a150487c109db2699e82,0,0,0,0,2,1,3,37112,"5/10/2024, 3:31:34.682 PM"
c3a7a8b1-f181-4f68-b6f5-0b59392791ab,2723,74d5172773ccfa021323a6d363557202,0,0,0,0,0,1,0,36458,"5/10/2024, 3:31:34.682 PM"
7ce70046-e2be-4bcd-a3e5-36edc5da55aa,6537,c462b03bb9ac1dbe42518e2d9b14c523,0,0,0,0,3,1,0,465620,"5/10/2024, 3:31:34.682 PM"
3f8b0152-a33c-4645-a7d9-331812b8dc5d,8767,2471f7ab273d1f3034e9df0f1d3f05c3,0,0,0,0,3,2,2,497770,"5/10/2024, 3:31:34.682 PM"
804f86e5-9179-4ae6-a440-06169a01fb2a,3898,dc147e6e8ba1f1ecde631fb3bcde94cc,0,2,0,0,1,0,1,598,"5/10/2024, 3:31:34.682 PM"
55d0aae2-49fd-4a93-882e-3853394bdaca,6641,8c9ce066677464627dfc745c734e5dab,0,0,0,0,3,1,0,1325,"5/10/2024, 3:31:34.682 PM"
a61d1f2c-e8e3-472d-892e-284cafc6905c,7658,42e5a36421576d541f5b6389cf1d41f8,0,0,0,0,1,1,0,870,"5/10/2024, 3:31:34.682 PM"
e65bf29d-9515-4eef-a337-739df7b326ec,2068,3ee7e35632310d4b312688da3e31b4bd,0,0,0,0,3,2,1,76382,"5/10/2024, 3:31:34.682 PM"
1f09c732-5867-463a-86ec-29d3cf37df6a,3692,83c98758a4fa82c72aa6c1ad56e26b9a,0,0,0,0,2,2,0,9232,"5/10/2024, 3:31:34.682 PM"
d234e41f-02b3-419a-96cd-4a79feac07a1,4809,3b865aa396b9afa76fa122b0a7bb6588,0,1,0,0,3,1,1,32381,"5/10/2024, 3:31:34.682 PM"
88bd45f4-f003-4f27-8839-836a1d1e701f,2530,941c4b6d31823e2124c964441ef72b74,1,1,1,0,1,0,1,873,"5/10/2024, 3:31:34.682 PM"
3dffd78f-2a41-47f5-ab8b-65201bdae8b3,8211,98a0ab405164b8d8ff4ce57ec98bcece,0,0,0,0,1,1,0,0,"5/10/2024, 3:31:34.682 PM"
e3a27b82-cc34-4857-9a15-250f9590b1d6,8592,c1819d1b595512fb7ea62cd05c97efca,0,0,0,0,3,8,0,22506,"5/10/2024, 3:31:34.682 PM"
44f99a1c-50be-4d88-ade4-1043d7c284c9,8063,b284503efe0f5b380323ca22fa55116b,0,0,0,0,3,1,1,6958,"5/10/2024, 3:31:34.682 PM"
74b91e18-13c0-4c99-891b-633f9891a4ec,8774,f98d04de51c9f6fea2e3d3c30001b875,0,0,0,0,2,10,4,314508,"5/10/2024, 3:31:34.682 PM"
9c51d6ca-7fd7-4e4a-9989-52135c18a6eb,5251,409cbcba893333e143a946c34333e8e1,0,0,0,0,0,1,3,386532,"5/10/2024, 3:31:34.682 PM"
15f661ed-0191-4254-8ed5-c5eb976e8bf6,5723,c7e3124cc193032dd857006452cca354,0,0,0,0,0,1,0,3744,"5/10/2024, 3:31:34.682 PM"
a2422ffb-0c91-42bd-ac83-35bcfeec50c7,3838,3611498083b48baf61c32ea6d0dcada3,0,0,0,0,3,4,0,68969,"5/10/2024, 3:31:34.682 PM"
d5161bea-14ef-4b53-96b3-18c7281dbbea,6953,eacfb5521e45a37ab15d22daf7553798,0,0,0,0,1,4,0,373957,"5/10/2024, 3:31:34.682 PM"
91470aa3-37b6-4d3e-af2c-7da46dc6256a,7702,50143398dc340850aee9495e9aae6822,0,0,0,0,1,2,0,8149,"5/10/2024, 3:31:34.682 PM"
7159cc95-158d-4e2d-86e4-a06f57890da3,8756,71c2a8889b2e48b25767bbf0d71c40d2,0,0,0,0,1,1,0,72044,"5/10/2024, 3:31:34.682 PM"
2d52fbe4-213e-4e28-98e8-8492f6e26ef1,5067,067f4fece3b8ee283948108006fa60e0,0,0,0,0,3,2,3,141918,"5/10/2024, 3:31:34.682 PM"
c67bb8e2-1d4d-463f-bf03-445691710a65,4713,3f2eff6d0aa5b0e4ea78231a0674bf78,0,0,0,0,3,0,2,26351,"5/10/2024, 3:31:34.682 PM"
7cfc0705-2443-49e0-8cad-4ed69c8ff543,7707,9892555da44636a05692c86b0b0dc1d8,0,0,0,0,2,2,0,0,"5/10/2024, 3:31:34.682 PM"
dd8ec103-d3b1-44b8-838e-41d3d8b1db78,5114,30c4c1f77349593ea0d0583c8b77932b,0,0,0,0,1,1,0,3341,"5/10/2024, 3:31:34.682 PM"
6b8c7ccf-4388-4731-b984-e97bf28733df,7163,97006e37231481a1296ceae7c653f701,0,0,0,0,3,2,0,5564,"5/10/2024, 3:31:34.682 PM"
4b51d837-0429-4775-a450-1ec51e41eeb9,7619,da11317dfc586b375923629b60c8da94,0,0,0,0,2,1,0,75553,"5/10/2024, 3:31:34.682 PM"
e3513560-033a-4e2c-9bde-bba59e22ae19,4036,c89157898daf12cb0d91d3182277b34c,0,0,0,0,3,0,1,235563,"5/10/2024, 3:31:34.682 PM"
de53a191-7e2b-4eb1-b787-a2a71f55a710,6127,61045f4d1bca4c0ab31abaef1929d661,0,1,0,0,2,0,1,752,"5/10/2024, 3:31:34.682 PM"
8f9da964-3955-4e9c-b7a6-76526b5952e6,5236,5427f6d0bf800e0d989a1f1994ba60eb,0,0,0,0,0,1,0,59490,"5/10/2024, 3:31:34.682 PM"
1d62ff93-6670-4d50-91ae-23cfdb37e825,5960,502f22124d05a72bd35b51e880f0cf16,0,3,0,0,1,0,3,39252,"5/10/2024, 3:31:34.682 PM"
64fc11ae-fde2-4792-b295-19065b3909eb,8041,1e73ae181f02c127e0e5e2cfb6f6aa8c,0,1,0,0,2,1,0,1020,"5/10/2024, 3:31:34.682 PM"
25321a27-1b6c-4f4d-90ea-9ff3d0186110,2775,4b43963c383c621a6b0c084b9ea03e89,0,0,0,0,3,2,1,828200,"5/10/2024, 3:31:34.682 PM"
3a5acd6d-0c4b-4a46-bcda-7d5e4508b3d9,5217,01e0afcc178a2fe47d9adf464a424a50,0,0,0,0,3,3,5,311999,"5/10/2024, 3:31:34.682 PM"
a9e33ac4-58fd-4cb9-8c6f-922791c0158c,6854,abc6b0e06f5c4f23f9e0775165683cc5,0,0,0,0,2,2,0,352589,"5/10/2024, 3:31:34.682 PM"
bd788e04-29e4-41fc-8614-539942cecc39,6413,bcd888e5162ba0eb4275e70601462a94,0,1,0,0,2,1,2,202055,"5/10/2024, 3:31:34.682 PM"
4343710e-fbbf-4ce0-bf38-5d7727625230,3797,d100b710fc646f409fe347eccf97d5ec,0,0,0,0,2,2,0,337541,"5/10/2024, 3:31:34.682 PM"
6cabe124-6fc7-4b37-8e4d-a8bee280e30d,4010,5dadb5f3a0c29c88a2b2f9ae32cf77f9,0,0,0,0,3,2,1,91256,"5/10/2024, 3:31:34.682 PM"
e5cd1287-172c-4dca-a199-ee654560c03d,5524,e70c80effec3c05fd8ef26d4a0141973,0,2,0,0,2,2,3,17349,"5/10/2024, 3:31:34.682 PM"
a4975ba0-22eb-4f26-bb7a-4d811aceff19,6054,b3ef7fb24e8aae60a3c0705c02842466,0,0,0,0,1,0,1,754,"5/10/2024, 3:31:34.682 PM"
360b4583-918a-401d-9062-0910678f44fc,7995,d8f3cea34e029e52b28b7266d63cee18,0,0,0,0,3,2,1,44453,"5/10/2024, 3:31:34.682 PM"
a21fe89e-76b8-41cf-8847-c41a96599551,6437,cde150c67066f3bb3ab4cc0de0e626f0,0,0,0,0,2,1,0,191710,"5/10/2024, 3:31:34.682 PM"
0399edd7-fa21-46f3-b1f8-56b7d33fc0e9,7143,1b31cd113869f765c7857442698350a8,0,0,0,0,3,2,0,536150,"5/10/2024, 3:31:34.682 PM"
98a05f54-7b65-4c6e-bc67-0c568a1b828b,7080,f38d0db3ef34b2aa6dbd3e51911f6394,0,0,0,0,2,1,0,44580,"5/10/2024, 3:31:34.682 PM"
d273248c-2a3f-4bdb-a1de-de90108228dc,6308,6c51e4e8585bf4114e937d39b84c9989,0,0,0,0,3,1,0,5026,"5/10/2024, 3:31:34.682 PM"
06e252ac-0d5b-4a48-ad4c-0f378fea2881,3496,e91fd8f89ea15f2b36cc909ba94e439e,0,1,0,0,3,1,0,1845,"5/10/2024, 3:31:34.682 PM"
04043aea-4e2b-4ea1-a4aa-1d97e24befd4,4479,9a01ddee0e050e1dbcffa66c216af6ff,0,0,0,0,2,2,0,22373,"5/10/2024, 3:31:34.682 PM"
9ef08a22-3b97-4dd5-8577-d9425b002d9c,7423,65bebc9f3d7055506263cced810c898e,0,0,0,0,3,0,1,13715,"5/10/2024, 3:31:34.682 PM"
001f5568-438d-494d-8ecc-508f78f5af11,6006,fb2eae6709ed7cad1bc42ada01afae85,0,0,0,0,0,1,0,1644,"5/10/2024, 3:31:34.682 PM"
5e0d34c5-244d-4290-b7a1-a7f52a3a42c8,7807,f46a7b303595131cde45d507789c52eb,0,0,0,0,2,1,0,66179,"5/10/2024, 3:31:34.682 PM"
18de899c-5f6a-474a-a0fd-4f56b55f92c3,4353,b37462f3a2de4227a9fdf143507c43ba,0,0,0,0,0,3,0,50596,"5/10/2024, 3:31:34.682 PM"
1b4eb2df-be9f-46ce-9c2f-ce17d501326a,5937,86552d038ca059205191fe247275382b,0,1,0,0,1,2,1,273985,"5/10/2024, 3:31:34.682 PM"
65937a67-8832-482d-b480-dccd0ab8b224,3852,0f8e17b34955d7d1cc9397f1e9a77645,0,0,0,0,1,1,2,520255,"5/10/2024, 3:31:34.682 PM"
5d8d7442-ceac-4126-ba07-1db3abcfe7de,7894,ae911385ba91b79dae3ad1d52f5a6aef,0,0,0,0,2,5,1,40120,"5/10/2024, 3:31:34.682 PM"
31d56eb3-7e82-4151-b0e1-4c33acaccae4,7241,88f3c45ec33a14febc09e9ddf017b2c8,0,1,0,0,2,0,1,415,"5/10/2024, 3:31:34.682 PM"
e86ea6c4-7e27-4936-82bb-37f5ba10bed8,5668,6eb8ff8b40f2b344fd61d92a303aff27,0,0,0,0,2,4,0,33452,"5/10/2024, 3:31:34.682 PM"
29679538-52a9-44cb-9754-51658b14cd92,5350,7f8577890f99a56d2a83408e3be37339,0,0,0,0,0,1,0,412,"5/10/2024, 3:31:34.682 PM"
53e42b04-392c-4480-86e2-b8de74aab082,7755,9b38aa33b7223f451436daf135c837c4,0,0,0,0,3,1,1,4863,"5/10/2024, 3:31:34.682 PM"
d43663ff-902d-4495-9c6a-1a5c680d6c75,4043,0ebb16d0fd01aeeb8328cc0c9e19416c,0,0,0,0,2,0,1,259134,"5/10/2024, 3:31:34.682 PM"
1ccdaf7d-bb37-4383-9389-9ff8f307f772,7827,b575e1ec7352a4bf22fecb3153ff1020,0,0,0,0,3,0,1,1950,"5/10/2024, 3:31:34.682 PM"
1c24fb86-a4be-4909-8e73-066637d4fb92,4918,ab3c36a60022993f91fc22acaef60c78,0,0,0,0,3,1,0,191067,"5/10/2024, 3:31:34.682 PM"
6ee24040-58a7-4f0b-bb8c-0e26cce2b052,7753,48f0931b43855dc4c3ad365f3ad927f6,0,0,0,0,1,3,1,53956,"5/10/2024, 3:31:34.682 PM"
8acc3d00-0bd7-4d56-ad4b-f90f7e108845,6150,e89e2057366f261bda3b47c3fb207aa4,0,0,0,0,3,1,0,0,"5/10/2024, 3:31:34.682 PM"
0933572c-d959-476c-a925-2f618558ca6f,7703,77940f358f8f2c76637ba25c33aff88a,0,0,0,0,1,1,0,365,"5/10/2024, 3:31:34.682 PM"
